model,roc_auc,pr_auc,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
RandomForest (best),0.7524066576698156,0.8494312098954568,0.7216981132075472,0.6384615384615384,0.8736842105263158,0.7377777777777778,0.8536585365853658,0.5982905982905983,0.7035175879396985
XGBoost (best),0.7346828609986503,0.840206369813919,0.6981132075471698,0.624,0.8210526315789474,0.7090909090909091,0.8045977011494253,0.5982905982905983,0.6862745098039216
LogReg Baseline,0.7445793972109761,0.8401211843987834,0.7452830188679245,0.6375838926174496,1.0,0.7786885245901639,1.0,0.5384615384615384,0.7
Dummy Baseline,0.5,0.5518867924528302,0.5518867924528302,0.0,0.0,0.0,0.5518867924528302,1.0,0.7112462006079028
