threshold,precision,recall,f1,tp,fp,tn,fn,tpr,fpr
0.043000000000000003,0.5704697986577181,1.0,0.7264957264957265,85,64,1,0,1.0,0.9846153846153847
0.044,0.5743243243243243,1.0,0.7296137339055794,85,63,2,0,1.0,0.9692307692307692
0.045,0.5743243243243243,1.0,0.7296137339055794,85,63,2,0,1.0,0.9692307692307692
0.046,0.5782312925170068,1.0,0.7327586206896551,85,62,3,0,1.0,0.9538461538461539
0.047,0.5782312925170068,1.0,0.7327586206896551,85,62,3,0,1.0,0.9538461538461539
0.048,0.5821917808219178,1.0,0.7359307359307359,85,61,4,0,1.0,0.9384615384615385
0.049,0.5821917808219178,1.0,0.7359307359307359,85,61,4,0,1.0,0.9384615384615385
0.05,0.5944055944055944,1.0,0.7456140350877193,85,58,7,0,1.0,0.8923076923076924
0.051000000000000004,0.5944055944055944,1.0,0.7456140350877193,85,58,7,0,1.0,0.8923076923076924
0.052000000000000005,0.5944055944055944,1.0,0.7456140350877193,85,58,7,0,1.0,0.8923076923076924
0.053,0.5944055944055944,1.0,0.7456140350877193,85,58,7,0,1.0,0.8923076923076924
0.054,0.6028368794326241,1.0,0.7522123893805309,85,56,9,0,1.0,0.8615384615384616
0.055,0.6071428571428571,1.0,0.7555555555555555,85,55,10,0,1.0,0.8461538461538461
0.056,0.6071428571428571,1.0,0.7555555555555555,85,55,10,0,1.0,0.8461538461538461
0.057,0.6115107913669064,1.0,0.7589285714285714,85,54,11,0,1.0,0.8307692307692308
0.058,0.6115107913669064,1.0,0.7589285714285714,85,54,11,0,1.0,0.8307692307692308
0.059000000000000004,0.6115107913669064,1.0,0.7589285714285714,85,54,11,0,1.0,0.8307692307692308
0.06,0.6115107913669064,1.0,0.7589285714285714,85,54,11,0,1.0,0.8307692307692308
0.061,0.6115107913669064,1.0,0.7589285714285714,85,54,11,0,1.0,0.8307692307692308
0.062,0.6115107913669064,1.0,0.7589285714285714,85,54,11,0,1.0,0.8307692307692308
0.063,0.6115107913669064,1.0,0.7589285714285714,85,54,11,0,1.0,0.8307692307692308
